"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Actor"
30,"Zack Snyder's Justice League","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",242,"Action",8.1,54,371862,"Zack Snyder","Henry Cavill"
31,"Furioza","An event from the past separates the fate of three friends. Unexpectedly, in the life of David (Mateusz Banasiuk) she appears again. Dzika (Weronika Ksiazkiewicz) - once the love of his ...                See full summary »",139,"Action",6.3,NA,1889,"Cyprian T. Olencki","Mateusz Banasiuk"
32,"The Last Duel","King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.",152,"Action",7.4,67,134151,"Ridley Scott","Matt Damon"
33,"The Many Saints of Newark","Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.",120,"Crime",6.3,60,47952,"Alan Taylor","Alessandro Nivola"
34,"Marcel the Shell with Shoes On","Feature adaptation of the animated short film interviewing a mollusk named Marcel.",89,"Comedy            ",8.1,80,64,"Dean Fleischer-Camp","Jenny Slate"
35,"The Lost Daughter","A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.",121,"Drama            ",6.7,86,54688,"Maggie Gyllenhaal","Olivia Colman"
36,"Shang-Chi and the Legend of the Ten Rings","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",132,"Action",7.4,71,343000,"Destin Daniel Cretton","Simu Liu"
37,"Last Night in Soho","An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.",116,"Drama",7.1,65,98464,"Edgar Wright","Thomasin McKenzie"
38,"The Green Knight","A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.",130,"Adventure",6.6,85,88130,"David Lowery","Dev Patel"
39,"Captain Nova","A fighter pilot travels back in time to save the future world from environmental disaster, but a side-effect turns her young again and no-one takes her seriously.",86,"Adventure",5.5,NA,898,"Maurice Trouwborst","Marouane Meftah"
